utseconds, gps_lat, gps_lon, gps_alt, AOA, T_CAPS, T_MMS, qc_CAPS, qc_MMS, ps_CAPS, ps_MMS, PAS_CAPS, TAS_MMS
58924, 4.98097, -120.51855, 210.11, 3.11, 303.70, 297.22, 1014.683, 989.590, 90.79, 126.91, 121.45, 144.73
58924, 4.97941, -120.51915, 217.78, 2.65, 303.04, 297.14, 1014.683, 989.008, 92.54, 127.41, 122.42, 145.03
58924, 4.97870, -120.51946, 221.38, 2.65, 304.14, 297.12, 1014.683, 988.643, 91.58, 126.89, 122.04, 144.76
58924, 4.97757, -120.51999, 227.13, 2.92, 304.26, 297.07, 1014.683, 987.927, 91.14, 126.68, 121.79, 144.68
58924, 4.97609, -120.52079, 235.45, 2.91, 304.09, 297.02, 1014.683, 987.145, 90.79, 125.12, 121.53, 143.87
58924, 4.97537, -120.52122, 239.59, 2.91, 304.34, 296.99, 1014.683, 986.721, 89.22, 124.35, 120.58, 143.46
58924, 4.97429, -120.52190, 245.73, 2.97, 303.99, 296.92, 1014.432, 986.047, 89.48, 123.98, 120.69, 143.29
58924, 4.97326, -120.52265, 250.03, 3.37, 304.07, 296.87, 1014.683, 985.189, 88.52, 123.34, 120.08, 142.98
58924, 4.97225, -120.52342, 256.73, 3.48, 303.97, 296.81, 1013.681, 984.329, 87.65, 122.55, 119.55, 142.59
58924, 4.97127, -120.52422, 263.39, 3.14, 303.92, 296.75, 1011.426, 983.529, 87.74, 121.82, 119.73, 142.22
58924, 4.97033, -120.52508, 272.09, 2.98, 303.90, 296.68, 1010.173, 982.564, 88.44, 120.82, 120.24, 141.71
58924, 4.96943, -120.52598, 281.29, 3.10, 303.65, 296.56, 1008.670, 981.431, 88.18, 121.17, 120.11, 141.95
58924, 4.96856, -120.52690, 290.71, 3.02, 303.60, 296.48, 1007.166, 980.409, 88.09, 120.31, 120.13, 141.53
58924, 4.96772, -120.52787, 300.61, 2.58, 303.65, 296.35, 1006.415, 979.455, 88.18, 121.09, 120.24, 142.00
58924, 4.96690, -120.52890, 310.17, 2.66, 303.56, 296.26, 1006.415, 978.344, 88.44, 120.69, 120.39, 141.83
58924, 4.96611, -120.52994, 319.37, 2.85, 303.65, 296.30, 1003.909, 977.224, 87.83, 121.09, 120.16, 142.14
58924, 4.96538, -120.53099, 328.59, 2.76, 303.65, 296.16, 1003.157, 976.209, 88.00, 121.04, 120.31, 142.16
58924, 4.96467, -120.53210, 337.49, 2.57, 303.34, 296.08, 1001.904, 975.251, 89.05, 121.14, 121.00, 142.26
58924, 4.96400, -120.53321, 347.11, 2.50, 303.38, 295.99, 999.900, 974.305, 89.48, 122.10, 121.40, 142.84
58924, 4.96336, -120.53385, 356.45, 2.57, 303.02, 295.87, 1000.150, 973.369, 89.57, 123.06, 121.37, 143.41
58924, 4.96276, -120.53490, 364.23, 2.71, 303.09, 295.76, 1000.651, 972.399, 89.22, 123.30, 121.13, 143.59
58924, 4.96198, -120.53656, 375.11, 2.74, 302.09, 295.67, 996.642, 971.134, 88.61, 122.12, 120.77, 143.00
58924, 4.96165, -120.53733, 380.11, 2.87, 302.63, 295.58, 998.647, 970.501, 88.87, 122.71, 120.93, 143.35
58924, 4.96102, -120.53891, 391.07, 2.72, 302.04, 295.56, 996.893, 969.303, 89.57, 123.99, 121.36, 144.15
58924, 4.96068, -120.53985, 397.79, 2.59, 302.41, 295.57, 995.640, 968.681, 90.36, 124.48, 122.01, 144.47
58924, 4.96024, -120.54114, 407.29, 2.28, 302.14, 295.44, 994.888, 967.771, 91.67, 124.98, 122.83, 144.79
58924, 4.95983, -120.54243, 416.69, 2.14, 302.14, 295.36, 992.633, 966.761, 93.06, 125.17, 123.84, 144.94
58924, 4.95945, -120.54374, 425.45, 2.22, 302.51, 295.25, 993.635, 965.749, 92.80, 126.36, 123.69, 145.64
58924, 4.95908, -120.54507, 434.09, 2.46, 301.89, 295.06, 992.633, 964.506, 92.19, 127.25, 123.24, 146.18
58924, 4.95875, -120.54641, 442.81, 2.52, 301.55, 294.95, 992.883, 963.449, 92.89, 127.40, 123.60, 146.30
58924, 4.95844, -120.54777, 452.07, 2.29, 301.45, 294.96, 989.125, 962.573, 94.20, 127.55, 124.62, 146.45
58924, 4.95817, -120.54912, 461.01, 2.28, 301.31, 294.94, 988.874, 961.611, 94.98, 127.21, 125.09, 146.34
58924, 4.95794, -120.55023, 469.45, 2.02, 301.28, 294.94, 987.872, 960.795, 95.77, 128.20, 125.64, 146.94
58924, 4.95774, -120.55123, 477.13, 2.16, 301.82, 294.86, 986.869, 959.891, 95.07, 128.84, 125.38, 147.34
58924, 4.95758, -120.55261, 483.99, 2.53, 302.14, 294.79, 988.122, 958.909, 94.63, 129.14, 125.09, 147.55
58924, 4.95746, -120.55403, 491.11, 2.79, 301.87, 294.70, 987.370, 957.851, 93.94, 130.15, 124.65, 148.16
58924, 4.95739, -120.55543, 498.65, 2.85, 302.09, 294.65, 986.619, 956.959, 94.55, 130.84, 125.12, 148.59
58924, 4.95737, -120.55686, 507.15, 2.84, 302.19, 294.58, 985.366, 955.999, 95.25, 131.09, 125.65, 148.78
58924, 4.95740, -120.55830, 516.59, 2.72, 302.07, 294.54, 985.366, 955.041, 95.16, 131.35, 125.57, 148.98
58924, 4.95749, -120.55979, 526.98, 2.48, 302.04, 294.47, 983.361, 954.002, 96.29, 131.88, 126.39, 149.33
58924, 4.95762, -120.56115, 536.77, 2.50, 301.77, 294.45, 982.358, 952.959, 96.73, 132.13, 126.66, 149.54
58924, 4.95781, -120.56267, 547.72, 2.52, 301.36, 294.21, 981.607, 951.758, 96.47, 132.14, 126.46, 149.57
58924, 4.95802, -120.56401, 557.69, 2.40, 301.77, 294.14, 979.852, 950.744, 96.47, 131.54, 126.65, 149.30
58924, 4.95829, -120.56543, 568.09, 2.30, 300.92, 294.16, 979.351, 949.624, 96.56, 132.00, 126.56, 149.64
58924, 4.95860, -120.56672, 578.21, 2.25, 301.75, 294.22, 977.597, 948.579, 96.99, 132.90, 127.11, 150.22
58924, 4.95897, -120.56760, 588.19, 2.23, 301.48, 294.20, 975.842, 947.511, 97.17, 133.49, 127.27, 150.62
58924, 4.95938, -120.56901, 597.70, 2.31, 301.85, 294.19, 975.592, 946.382, 97.87, 134.17, 127.79, 151.06
58924, 4.95983, -120.57041, 607.09, 2.33, 302.31, 294.17, 974.840, 945.351, 98.83, 135.27, 128.53, 151.73
58924, 4.96033, -120.57178, 616.49, 2.38, 302.53, 294.10, 975.842, 944.291, 98.57, 135.71, 128.35, 152.02
58924, 4.96086, -120.57313, 625.83, 2.35, 302.29, 294.04, 972.835, 943.239, 99.18, 135.97, 128.86, 152.23
58924, 4.96146, -120.57448, 635.49, 2.37, 302.19, 294.00, 972.334, 942.151, 100.31, 136.07, 129.56, 152.36
58924, 4.96209, -120.57580, 646.09, 2.35, 301.85, 293.91, 970.078, 941.111, 99.18, 136.33, 128.94, 152.55
58924, 4.96278, -120.57712, 656.39, 2.28, 301.33, 293.80, 970.329, 940.051, 99.53, 136.55, 129.03, 152.72
58924, 4.96351, -120.57842, 666.24, 2.23, 301.14, 293.72, 969.577, 938.996, 100.31, 136.63, 129.51, 152.83
58924, 4.96426, -120.57967, 675.69, 2.23, 301.02, 293.65, 967.321, 937.981, 100.49, 136.70, 129.73, 152.92
58924, 4.96531, -120.58128, 688.13, 2.21, 301.36, 293.52, 966.820, 936.647, 100.93, 137.01, 130.10, 153.16
58924, 4.96592, -120.58216, 694.94, 2.26, 301.82, 293.48, 966.068, 935.920, 100.23, 137.26, 129.82, 153.34
58924, 4.96677, -120.58331, 703.99, 2.28, 301.89, 293.39, 966.068, 934.901, 100.40, 137.47, 129.95, 153.51
58924, 4.96769, -120.58389, 713.59, 2.27, 300.80, 293.29, 963.812, 933.861, 100.66, 137.72, 130.01, 153.70
58924, 4.96864, -120.58496, 723.09, 2.16, 300.72, 293.25, 961.807, 932.871, 101.28, 138.05, 130.49, 153.94
